threshold,percent_cells_labelled,num_cells_labelled,spatial_autocorr,confidence_interval,year
30.0,6.802120141342756,539,"{'I': np.float64(0.8942243066474694), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43842261778580804), 'upper': np.float64(0.4568984260984392), 'width': np.float64(0.01847580831263118)}",2019
30.263157894736842,6.7895002523977785,538,"{'I': np.float64(0.8939360481980743), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4382418993858985), 'upper': np.float64(0.456740130755357), 'width': np.float64(0.018498231369458495)}",2019
30.526315789473685,6.764260474507824,536,"{'I': np.float64(0.8937604612194985), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4382413650748661), 'upper': np.float64(0.45678690583237713), 'width': np.float64(0.018545540757511025)}",2019
30.789473684210527,6.68854114083796,530,"{'I': np.float64(0.8967017206517364), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43864472854107006), 'upper': np.float64(0.4572850335401498), 'width': np.float64(0.01864030499907976)}",2019
31.05263157894737,6.675921251892983,529,"{'I': np.float64(0.8967891380809729), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43872558850457494), 'upper': np.float64(0.4573973733118651), 'width': np.float64(0.018671784807290148)}",2019
31.31578947368421,6.625441696113074,525,"{'I': np.float64(0.9053991538692946), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4388003188082484), 'upper': np.float64(0.45752668030951), 'width': np.float64(0.018726361501261612)}",2019
31.57894736842105,6.612821807168097,524,"{'I': np.float64(0.9055426462662072), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4389109133185182), 'upper': np.float64(0.45766664669902096), 'width': np.float64(0.018755733380502737)}",2019
31.842105263157894,6.587582029278143,522,"{'I': np.float64(0.9058760562227806), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4384467729473393), 'upper': np.float64(0.45715737634459636), 'width': np.float64(0.018710603397257053)}",2019
32.10526315789474,6.5371024734982335,518,"{'I': np.float64(0.8930631813141456), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4380489794776314), 'upper': np.float64(0.4567233110786871), 'width': np.float64(0.018674331601055694)}",2019
32.368421052631575,6.5371024734982335,518,"{'I': np.float64(0.8930631813141456), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4380489794776314), 'upper': np.float64(0.4567233110786871), 'width': np.float64(0.018674331601055694)}",2019
32.63157894736842,6.474003028773347,513,"{'I': np.float64(0.889958735663623), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43763348588712747), 'upper': np.float64(0.4563648407636398), 'width': np.float64(0.01873135487651234)}",2019
32.89473684210526,6.436143361938415,510,"{'I': np.float64(0.9023217123821536), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4376312918060695), 'upper': np.float64(0.45644999104050876), 'width': np.float64(0.01881869923443924)}",2019
33.1578947368421,6.4109035840484605,508,"{'I': np.float64(0.9027117150156787), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4378672250228083), 'upper': np.float64(0.45674569725445513), 'width': np.float64(0.018878472231646848)}",2019
33.421052631578945,6.385663806158506,506,"{'I': np.float64(0.8988774071308776), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43705382609384713), 'upper': np.float64(0.45585776868943284), 'width': np.float64(0.01880394259558571)}",2019
33.68421052631579,6.347804139323573,503,"{'I': np.float64(0.8984070109257006), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43657881796475545), 'upper': np.float64(0.45542202604177723), 'width': np.float64(0.018843208077021778)}",2019
33.94736842105263,6.335184250378596,502,"{'I': np.float64(0.8984283101031965), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43637683924990195), 'upper': np.float64(0.4552427916665293), 'width': np.float64(0.018865952416627363)}",2019
34.21052631578947,6.322564361433619,501,"{'I': np.float64(0.898446345718202), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.4365804331145369), 'upper': np.float64(0.45546553036320697), 'width': np.float64(0.018885097248670046)}",2019
34.473684210526315,6.309944472488642,500,"{'I': np.float64(0.9005620655692823), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43634231924707917), 'upper': np.float64(0.4552436342061293), 'width': np.float64(0.01890131495905012)}",2019
34.73684210526316,6.297324583543665,499,"{'I': np.float64(0.9006674454466677), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43637445228207195), 'upper': np.float64(0.4553127276507736), 'width': np.float64(0.01893827536870163)}",2019
35.0,6.297324583543665,499,"{'I': np.float64(0.9006674454466677), 'p_value': np.float64(0.001)}","{'lower': np.float64(0.43637445228207195), 'upper': np.float64(0.4553127276507736), 'width': np.float64(0.01893827536870163)}",2019
